epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7549,2.07705,5.68962,2.87318,0,0,0,0,nan,nan,nan,0.070625,0.00326389,0.00326389
2,21.7004,2.25946,2.29013,2.86523,0.01265,0.17647,0.00619,0.00153,4.28408,157.335,136.4,0.0399719,0.0059441,0.0059441
3,28.2247,2.16742,1.92433,2.72712,0.00826,0.78431,0.00866,0.00304,2.58747,inf,7.01878,0.00865875,0.00796431,0.00796431
4,34.8212,2.11064,1.79683,2.66662,0.02338,0.31373,0.02406,0.00739,2.54556,5.24658,3.24321,0.00703,0.00703,0.00703
5,41.2954,2.05357,1.73147,2.69356,0.09597,0.26471,0.14684,0.04453,2.60185,3.41902,3.21284,0.00604,0.00604,0.00604
6,47.7374,1.93928,1.57963,2.55368,0.28598,0.51833,0.24654,0.08488,2.27489,2.13537,2.80273,0.00505,0.00505,0.00505
7,54.1905,1.94106,1.51525,2.53836,0.51921,0.62468,0.59776,0.18839,2.36004,1.80044,2.86617,0.00406,0.00406,0.00406
8,60.6654,1.9204,1.51647,2.55578,0.13689,0.57843,0.20267,0.07381,2.41869,3.81593,2.86474,0.00307,0.00307,0.00307
9,67.1315,1.88788,1.48022,2.51151,0.28122,0.14706,0.1414,0.04072,2.60755,3.24528,3.15142,0.00208,0.00208,0.00208
10,73.998,1.76996,1.41609,2.40985,0.25067,0.28534,0.16431,0.04698,2.44284,2.96285,2.98245,0.00109,0.00109,0.00109
