epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87585,1.78718,2.3833,2.05986,0.00013,0.03922,8e-05,2e-05,5.31281,inf,193.724,0.070625,0.00326389,0.00326389
2,13.6174,1.88404,1.66892,1.99876,0.0027,0.52941,0.00248,0.00067,3.41072,inf,55.2184,0.0405597,0.00653191,0.00653191
3,20.3807,1.77877,1.49815,1.91243,0.00288,0.19608,0.00191,0.00066,4.45358,4.18506,6.17381,0.0104284,0.00973393,0.00973393
4,26.9706,1.7034,1.45741,1.83295,0.16028,0.40196,0.14746,0.04621,2.60151,3.56436,2.77938,0.009703,0.009703,0.009703
5,34.2318,1.64234,1.3368,1.75519,0.62693,0.71569,0.72599,0.30724,1.71555,2.82684,1.83713,0.009604,0.009604,0.009604
6,42.306,1.63339,1.21563,1.75191,0.12991,0.2549,0.07314,0.03104,3.00554,5.62352,3.8702,0.009505,0.009505,0.009505
7,50.1178,1.59612,1.2378,1.74838,0.71541,0.6901,0.5971,0.23346,2.21685,2.48067,2.34453,0.009406,0.009406,0.009406
8,57.9404,1.55203,1.14132,1.68885,0.63788,0.59804,0.597,0.29909,1.58824,2.05054,1.73553,0.009307,0.009307,0.009307
9,65.6241,1.56287,1.13345,1.68888,0.04834,0.09804,0.0165,0.00775,3.63529,7.16419,5.76448,0.009208,0.009208,0.009208
10,73.6426,1.46855,1.07241,1.63221,0.65069,0.65746,0.55334,0.21906,1.99479,1.86925,2.16231,0.009109,0.009109,0.009109
11,81.9564,1.50909,1.10077,1.65275,0.46432,0.40196,0.40333,0.1568,2.00586,2.65108,2.10037,0.00901,0.00901,0.00901
12,89.8807,1.46316,1.06009,1.617,0.75348,0.76471,0.75925,0.3642,1.78917,1.28104,1.87403,0.008911,0.008911,0.008911
13,97.5691,1.41241,1.02307,1.59309,0.69014,0.71569,0.59007,0.23508,1.90524,1.80152,2.08987,0.008812,0.008812,0.008812
14,105.293,1.37829,0.99203,1.55337,0.64441,0.45098,0.45314,0.1478,2.48369,2.2307,2.71424,0.008713,0.008713,0.008713
15,112.957,1.41688,1.00975,1.59896,0.75686,0.76297,0.71761,0.33396,1.7576,1.32897,1.88825,0.008614,0.008614,0.008614
16,120.64,1.37647,0.96443,1.56555,0.7736,0.86275,0.86137,0.40743,1.57179,1.292,1.58368,0.008515,0.008515,0.008515
17,128.241,1.38199,0.98584,1.54426,0.57653,0.53922,0.44767,0.13588,2.42635,1.91306,2.57425,0.008416,0.008416,0.008416
18,135.832,1.35764,0.91603,1.54194,0.82041,0.76139,0.79068,0.40051,1.57144,0.97968,1.62326,0.008317,0.008317,0.008317
19,143.548,1.32732,0.91274,1.52335,0.8698,0.78597,0.83226,0.43917,1.58284,1.15257,1.68966,0.008218,0.008218,0.008218
20,151.392,1.25412,0.8557,1.45627,0.5476,0.53922,0.51067,0.20219,2.02579,2.00796,2.13977,0.008119,0.008119,0.008119
21,159.351,1.25255,0.85652,1.4647,0.76115,0.66667,0.76044,0.37586,1.73836,1.26776,1.81921,0.00802,0.00802,0.00802
22,167.316,1.28587,0.86306,1.49432,0.30406,0.31373,0.23104,0.11534,2.04523,3.17723,2.5045,0.007921,0.007921,0.007921
23,175.374,1.23484,0.82707,1.4498,0.89865,0.90196,0.9149,0.37694,1.79377,0.99082,1.74832,0.007822,0.007822,0.007822
24,183.41,1.23507,0.80325,1.45723,0.75694,0.81373,0.82989,0.38276,1.79196,1.25624,1.79292,0.007723,0.007723,0.007723
25,191.309,1.22373,0.81676,1.43612,0.90495,0.95098,0.96525,0.47333,1.54719,1.00496,1.58718,0.007624,0.007624,0.007624
26,199.113,1.20699,0.79558,1.43492,0.91209,0.91552,0.94696,0.47653,1.49567,0.83057,1.57402,0.007525,0.007525,0.007525
27,206.88,1.18954,0.78392,1.41126,0.8055,0.80392,0.78314,0.3569,1.92607,0.90975,1.91984,0.007426,0.007426,0.007426
28,214.678,1.15985,0.78818,1.40681,0.79875,0.81373,0.812,0.38069,1.65307,1.12747,1.69832,0.007327,0.007327,0.007327
29,222.274,1.16191,0.77161,1.39461,0.91333,0.92979,0.9709,0.50706,1.56024,0.87784,1.56429,0.007228,0.007228,0.007228
30,230.026,1.13159,0.71174,1.37863,0.97865,0.89866,0.96389,0.6137,1.24507,0.68619,1.35163,0.007129,0.007129,0.007129
31,237.871,1.12717,0.69336,1.36786,0.9069,0.90196,0.97269,0.67079,1.18779,0.76862,1.35511,0.00703,0.00703,0.00703
32,246.069,1.10325,0.70694,1.35391,0.7985,0.6605,0.73382,0.4136,1.50538,1.38857,1.71717,0.006931,0.006931,0.006931
33,252.75,1.12274,0.71237,1.36407,0.91472,0.94643,0.94592,0.55307,1.39924,0.81186,1.43471,0.006832,0.006832,0.006832
34,259.625,1.09766,0.72379,1.36764,0.82079,0.81373,0.84646,0.45533,1.64322,0.9438,1.67007,0.006733,0.006733,0.006733
35,266.567,1.05403,0.6906,1.33361,0.90509,0.935,0.94609,0.65358,1.14283,0.65722,1.28487,0.006634,0.006634,0.006634
36,273.321,1.07089,0.70057,1.33771,0.91335,0.91176,0.94123,0.43028,1.81388,0.82289,1.7194,0.006535,0.006535,0.006535
37,280.298,1.05002,0.65911,1.33088,0.91628,0.97059,0.96062,0.6338,1.22203,0.64932,1.31031,0.006436,0.006436,0.006436
38,287.806,1.07216,0.68358,1.33481,0.80316,0.88235,0.86816,0.49366,1.51799,0.91782,1.51851,0.006337,0.006337,0.006337
